Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
1857,111,2,80.7,3,1,3,313,7,REGULARS
1053,174,6,80.7,2,4,3,243,9,LOYAL
3756,28,5,80.7,4,4,3,443,11,LOYAL
2218,181,6,80.6,2,4,3,243,9,LOYAL
2790,0,3,80.5,4,2,3,423,9,ACTIVE
3036,103,3,80.44,3,2,3,323,8,REGULARS
4067,75,3,80.4,3,2,3,323,8,REGULARS
3902,31,3,80.4,4,2,3,423,9,ACTIVE
3158,452,4,80.4,1,3,3,133,7,LOST
3304,30,3,80.3,4,2,3,423,9,ACTIVE
1075,41,4,80.3,4,3,3,433,10,ACTIVE
2513,15,4,80.3,4,3,3,433,10,ACTIVE
1325,218,3,80.3,2,2,3,223,7,REGULARS
2948,194,4,80.24,2,3,3,233,8,REGULARS
3260,28,3,80.2,4,2,3,423,9,ACTIVE
3899,6,5,80.2,4,4,3,443,11,LOYAL
1399,385,4,80.1,1,3,3,133,7,LOST
1552,720,1,80.1,1,1,3,113,5,LOST
2159,166,3,80.06,2,2,3,223,7,REGULARS
4536,108,4,80.0,3,3,3,333,9,REGULARS
4632,87,5,80.0,3,4,3,343,10,LOYAL
3589,56,6,80.0,4,4,3,443,11,LOYAL
4154,181,4,80.0,2,3,3,233,8,REGULARS
2514,58,3,79.9,3,2,3,323,8,REGULARS
4394,412,4,79.9,1,3,3,133,7,LOST
1684,361,3,79.9,1,2,3,123,6,LOST
4842,22,5,79.89,4,4,3,443,11,LOYAL
2396,496,5,79.85,1,4,3,143,8,LOYAL
4133,156,6,79.8,2,4,3,243,9,LOYAL
4286,109,4,79.8,3,3,3,333,9,REGULARS
2446,113,4,79.8,3,3,3,333,9,REGULARS
4320,19,5,79.8,4,4,3,443,11,LOYAL
1766,343,2,79.75,1,1,3,113,5,LOST
4212,243,5,79.75,2,4,3,243,9,LOYAL
3811,189,7,79.6,2,4,3,243,9,LOYAL
4897,400,4,79.6,1,3,3,133,7,LOST
2708,316,2,79.5,1,1,3,113,5,LOST
1311,184,3,79.5,2,2,3,223,7,REGULARS
3149,704,1,79.5,1,1,3,113,5,LOST
4840,208,4,79.4,2,3,3,233,8,REGULARS
2942,332,3,79.35,1,2,3,123,6,LOST
2274,359,5,79.34,1,4,3,143,8,LOYAL
1424,82,3,79.3,3,2,3,323,8,REGULARS
3015,81,4,79.3,3,3,3,333,9,REGULARS
3236,179,4,79.2,2,3,3,233,8,REGULARS
1712,487,2,79.1,1,1,3,113,5,LOST
4058,0,3,78.99,4,2,3,423,9,ACTIVE
2241,73,4,78.9,3,3,3,333,9,REGULARS
2152,118,5,78.9,3,4,3,343,10,LOYAL
3867,114,3,78.88,3,2,3,323,8,REGULARS
4144,54,4,78.8,4,3,3,433,10,ACTIVE
4740,89,4,78.7,3,3,3,333,9,REGULARS
2697,541,2,78.7,1,1,3,113,5,LOST
1697,43,6,78.66,4,4,3,443,11,LOYAL
3227,30,5,78.66,4,4,3,443,11,LOYAL
3327,240,6,78.53,2,4,3,243,9,LOYAL
1885,5,4,78.5,4,3,3,433,10,ACTIVE
2379,102,3,78.5,3,2,3,323,8,REGULARS
1345,162,3,78.36,2,2,3,223,7,REGULARS
3385,185,4,78.33,2,3,3,233,8,REGULARS
1161,291,2,78.3,1,1,3,113,5,LOST
3063,2,5,78.2,4,4,3,443,11,LOYAL
2800,89,5,78.15,3,4,3,343,10,LOYAL
3009,138,6,78.1,3,4,3,343,10,LOYAL
4334,50,5,78.05,4,4,3,443,11,LOYAL
4449,275,3,78.0,2,2,3,223,7,REGULARS
2327,22,4,78.0,4,3,3,433,10,ACTIVE
2636,110,2,78.0,3,1,3,313,7,REGULARS
3447,33,4,78.0,4,3,3,433,10,ACTIVE
2410,39,3,78.0,4,2,3,423,9,ACTIVE
3658,95,2,77.9,3,1,3,313,7,REGULARS
2805,122,4,77.85,3,3,3,333,9,REGULARS
4835,21,6,77.84,4,4,3,443,11,LOYAL
3280,170,3,77.8,2,2,3,223,7,REGULARS
4097,32,6,77.8,4,4,3,443,11,LOYAL
2974,4,4,77.7,4,3,3,433,10,ACTIVE
4555,53,5,77.7,4,4,3,443,11,LOYAL
4322,27,5,77.7,4,4,3,443,11,LOYAL
3241,101,3,77.6,3,2,3,323,8,REGULARS
2431,64,5,77.57,3,4,3,343,10,LOYAL
4319,52,6,77.56,4,4,3,443,11,LOYAL
2530,122,4,77.54,3,3,3,333,9,REGULARS
1349,17,4,77.52,4,3,3,433,10,ACTIVE
2876,61,5,77.32,3,4,3,343,10,LOYAL
1461,9,3,77.3,4,2,3,423,9,ACTIVE
2871,10,4,77.25,4,3,3,433,10,ACTIVE
2630,318,3,77.24,1,2,3,123,6,LOST
3660,442,4,77.2,1,3,3,133,7,LOST
2653,23,5,77.15,4,4,3,443,11,LOYAL
2038,227,5,76.95,2,4,3,243,9,LOYAL
3673,125,4,76.95,3,3,3,333,9,REGULARS
4199,1,4,76.94,4,3,3,433,10,ACTIVE
2505,30,4,76.9,4,3,3,433,10,ACTIVE
4314,242,7,76.9,2,4,3,243,9,LOYAL
4363,182,3,76.9,2,2,3,223,7,REGULARS
4037,1,4,76.9,4,3,3,433,10,ACTIVE
2979,143,4,76.85,2,3,3,233,8,REGULARS
4411,161,2,76.8,2,1,3,213,6,REGULARS
